tournament,match_count,tier,region,stage_type,notes
Champions Tour 2023: Americas League,55,tier1,auto:Americas,auto:main_event,
Challengers 2024 Spain Rising: Consolidation,55,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 North America: Stage 2,55,tier2,auto:NA,auto:main_event,
Knights Circuit Championship,55,tier3,auto:NA,auto:main_event,
Challengers League MENA Resilience: Split 2,55,tier2,auto:EMEA,auto:main_event,
Champions Tour 2023: EMEA League,55,tier1,auto:EMEA,auto:main_event,
Champions Tour Korea Stage 3: Challengers,54,tier1,auto:Korea,auto:main_event,
Challengers 2026: DACH Evolution Stage 1,54,tier2,auto:EMEA,auto:main_event,
Huya FMWH PangHu Cup: Summer,54,tier3,,auto:main_event,
Challengers 2025 NORTH//EAST Stage 2,54,tier2,,auto:main_event,
Nerd Street Gamers Summer Championship,54,tier3,auto:NA,auto:main_event,
Oceania Tour: Stage 03,54,tier1,auto:Oceania,auto:main_event,
Champions Tour Europe Stage 1: Challengers 3,53,tier1,auto:EMEA,auto:main_event,
Nerd Street Gamers Winter Championship - Last Chance Qualifier,53,tier3,auto:NA,auto:lcq,
Challengers League Japan: Split 1,53,tier2,auto:Japan,auto:main_event,
Valorant Regional League Turkey: Birlik - Stage 1,53,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 DACH Evolution: Split 2,53,tier2,auto:EMEA,auto:main_event,
World Cyber Games Challengers League Korea: Split 1,53,tier2,auto:Korea,auto:main_event,
Challengers League 2024 Philippines: Split 2,53,tier2,auto:SEA,auto:main_event,
Guardianes GG Series,52,tier3,,auto:main_event,
Game Changers 2026: EMEA Stage 2,52,game_changers,auto:EMEA,auto:main_event,
Absolute Masters,52,tier3,,auto:main_event,
WCS20 SEA Community Tournament,52,tier3,auto:SEA,auto:main_event,
Game Changers 2026: EMEA Stage 1,52,game_changers,auto:EMEA,auto:main_event,
Champions Tour 2023: Champions China Qualifier,51,tier1,auto:China,auto:qualifier,
Game Changers 2025: North America Stage 2,51,game_changers,auto:NA,auto:main_event,
Nerd Street Gamers Winter Championship - Open 2,51,tier3,auto:NA,auto:main_event,
Valorant Regional League DACH: Evolution,51,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 Japan: Split 1,50,tier2,auto:Japan,auto:main_event,
Challengers 2025: Spain Rising Stage 2,50,tier2,auto:EMEA,auto:main_event,
Challengers 2025: Brazil Gamers Club Stage 2,50,tier2,auto:Brazil,auto:main_event,
First Strike: Turkey,50,,auto:EMEA,auto:main_event,
Game Changers 2025: EMEA Stage 1,50,game_changers,auto:EMEA,auto:main_event,
Challengers 2026: North America ACE Stage 3,50,tier2,auto:NA,auto:main_event,
ImbaTV Fearless Invitational Cup,49,tier3,,auto:main_event,
Nerd Street Gamers Winter Championship: Open 4,49,tier3,auto:NA,auto:main_event,
Challengers League Japan: Split 2,49,tier2,auto:Japan,auto:main_event,
Nerd Street Gamers Winter Championship: Open 7,48,tier3,auto:NA,auto:main_event,
Game Changers 2023 Series II: North America,48,game_changers,auto:NA,auto:main_event,
Challengers League Indonesia: Split 2,48,tier2,auto:SEA,auto:main_event,
Challengers League Indonesia: Split 1,48,tier2,auto:SEA,auto:main_event,
Challengers 2025: Spain Rising Stage 1,48,tier2,auto:EMEA,auto:main_event,
Challengers 2025: LATAM South ACE Stage 1,48,tier2,auto:NA,auto:main_event,
Challengers 2025: Türkiye Birlik Kickoff,48,tier2,auto:EMEA,auto:main_event,
VCT 2026: China Stage 1,48,tier1,auto:China,auto:main_event,
Valorant Contenders Cup,47,tier3,,auto:main_event,
Nerd Street Gamers Winter Championship - Finals,47,tier3,auto:NA,auto:main_event,
Challengers League 2024 Northern Europe: Polaris Split 1,47,tier2,auto:EMEA,auto:main_event,
Challengers 2025: LATAM North ACE Stage 1,47,tier2,auto:NA,auto:main_event,
The Esports Club Challenger Series 9,47,,,auto:main_event,
PAX Arena Invitational,47,,,auto:main_event,
Valorant Regional League East: Surge,46,tier2,,auto:main_event,
Challengers League 2024 North America: Stage 1,46,tier2,auto:NA,auto:main_event,
Pulse Series,46,tier3,,auto:main_event,
Challengers League Turkey Birlik: Split 2,46,tier2,auto:EMEA,auto:main_event,
Valorant Regional League Turkey: Birlik - Stage 2,46,tier2,auto:EMEA,auto:main_event,
Red Bull Home Ground #5 Qualifiers,46,,,auto:qualifier,
Challengers 2025: Southeast Asia Stage 2,45,tier2,auto:SEA,auto:main_event,
THE POKAL 2024,45,,,auto:main_event,
Red Bull Home Ground #3,45,,,auto:main_event,
Nerd Street Gamers Winter Championship - Open 15,45,tier3,auto:NA,auto:main_event,
Challengers League Oceania: Split 1,45,tier2,auto:Oceania,auto:main_event,
Challengers 2025: LATAM South ACE Stage 2,44,tier2,auto:NA,auto:main_event,
Skyesports Champions Series,44,tier1,,auto:main_event,
Challengers 2025: LATAM North ACE Stage 2,44,tier2,auto:NA,auto:main_event,
Knights Monthly Gauntlet: September,44,tier3,auto:NA,auto:main_event,
Oceania Tour: Stage 02,44,tier1,auto:Oceania,auto:main_event,
Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,44,tier1,auto:APAC,auto:main_event,
Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,44,tier1,auto:APAC,auto:main_event,
LVP Rising Series #4,44,tier3,,auto:main_event,
VCT 2025: Pacific Stage 2,43,tier1,auto:APAC,auto:main_event,
VCT 2025: Americas Stage 2,43,tier1,auto:Americas,auto:main_event,
Valorant India Invitational by Galaxy Racer,43,,,auto:main_event,
Champions Tour Turkey Stage 1: Challengers 1,43,tier1,auto:EMEA,auto:main_event,
Challengers 2025: Southeast Asia Stage 1,43,tier2,auto:SEA,auto:main_event,
VCT 2025: EMEA Stage 2,43,tier1,auto:EMEA,auto:main_event,
VCT 2026: EMEA Stage 1,42,tier1,auto:EMEA,auto:main_event,
Nerd Street Gamers Winter Championship: Open 6,42,tier3,auto:NA,auto:main_event,
Challengers League Philippines: Split 1,42,tier2,auto:SEA,auto:main_event,
China Evolution Series Act 3: Heritability,42,tier1,auto:China,auto:main_event,
Challengers League Philippines: Split 2,42,tier2,auto:SEA,auto:main_event,
Champions Tour Indonesia Stage 2: Challengers,42,tier1,auto:SEA,auto:main_event,
Challengers 2026: France Revolution Stage 1,42,tier2,auto:EMEA,auto:main_event,
Game Changers 2025: EMEA Stage 3,42,game_changers,auto:EMEA,auto:main_event,
Champions Tour Philippines Stage 1: Challengers,42,tier1,auto:SEA,auto:main_event,
VCT 2025: Pacific Stage 1,42,tier1,auto:APAC,auto:main_event,
VCT 2026: Pacific Stage 1,42,tier1,auto:APAC,auto:main_event,
Champions Tour Philippines Stage 2: Challengers,42,tier1,auto:SEA,auto:main_event,
VCT 2025: EMEA Stage 1,42,tier1,auto:EMEA,auto:main_event,
Red Bull Home Ground,42,tier3,,auto:main_event,
VCT 2025: China Stage 2,42,tier1,auto:China,auto:main_event,
VCT 2025: China Stage 1,42,tier1,auto:China,auto:main_event,
VCT 2025: Americas Stage 1,42,tier1,auto:Americas,auto:main_event,
Challengers 2025: Japan Stage 2,42,tier2,auto:Japan,auto:main_event,
FGC VALORANT Invitational 2022: Act 1,42,tier3,,auto:main_event,
Nerd Street Gamers Winter Championship - Open 1,41,tier3,auto:NA,auto:main_event,
Challengers League Thailand: Split 2,41,tier2,auto:SEA,auto:main_event,
Champions Tour 2024 EMEA: Ascension,41,tier1,auto:EMEA,auto:main_event,
Rival 1,41,tier3,,auto:main_event,
Nerd Street Summer Championship 2022 - Open 3,41,tier3,auto:NA,auto:main_event,
Champions Tour LATAM Stage 1: Challengers 3,41,tier1,auto:LATAM,auto:main_event,
Champions Tour 2023 EMEA: Ascension,41,tier1,auto:EMEA,auto:main_event,
World Cyber Games Challengers League Korea: Split 2,41,tier2,auto:Korea,auto:main_event,
FGC VALORANT Invitational 2023: Act 1,40,tier3,,auto:main_event,
Nerd Street Summer Championship 2022 - Finals,40,tier3,auto:NA,auto:main_event,
Nerd Street Gamers Winter Championship - Open 12,40,tier3,auto:NA,auto:main_event,
Knights Monthly Gauntlet: June,40,tier3,auto:NA,auto:main_event,
LVP Rising Series #1,40,tier3,,auto:main_event,
Champions Tour Indonesia Stage 1: Challengers,40,tier1,auto:SEA,auto:main_event,
Knights Circuit Weekly #1,40,tier3,auto:NA,auto:main_event,
Champions Tour EMEA Stage 2: Challengers,40,tier1,auto:EMEA,auto:main_event,
Champions Tour Stage 1: EMEA Challengers,40,tier1,auto:EMEA,auto:main_event,
FGC Valorant Invitational,40,tier3,,auto:main_event,
Champions Tour Game Changers Series I: EMEA,40,game_changers,auto:EMEA,auto:main_event,
Red Bull Home Ground #5,39,,,auto:main_event,
Challengers 2026: LATAM North ACE Stage 1,39,tier2,auto:NA,auto:main_event,
Clan Battle Act 2,39,,,auto:main_event,
Nerd Street Gamers Winter Championship: Open 5,39,tier3,auto:NA,auto:main_event,
Challengers 2026: LATAM South ACE Stage 1,39,tier2,auto:NA,auto:main_event,
Red Bull Home Ground #2,39,tier3,,auto:main_event,
LVP Rising Series #2,39,tier3,,auto:main_event,
Challengers 2025: Southeast Asia Stage 3,39,tier2,auto:SEA,auto:main_event,
Challengers League Oceania: Split 2,39,tier2,auto:Oceania,auto:main_event,
Nerd Street Gamers Winter Championship - Open 13,39,tier3,auto:NA,auto:main_event,
The Knight's Forge,39,,,auto:main_event,
Nerd Street Summer Championship 2022 - Online Qualifier,39,tier3,auto:NA,auto:qualifier,
Skyesports Championship 3.0,38,tier3,,auto:main_event,
AfreecaTV Valorant League,38,,,auto:main_event,
Champions Tour 2024: Americas Stage 1,38,tier1,auto:Americas,auto:main_event,
Challengers League 2024 Indonesia: Split 2,38,tier2,auto:SEA,auto:main_event,
Valorant Master Series,38,tier3,,auto:main_event,
Nerd Street Gamers Summer Championship - Open 1,38,tier3,auto:NA,auto:main_event,
Champions Tour 2024: China Stage 1,38,tier1,auto:China,auto:main_event,
Challengers League Taiwan/Hong Kong: Split 1,38,tier2,auto:APAC,auto:main_event,
Challengers League Brazil: Split 2,38,tier2,auto:Brazil,auto:main_event,
Champions Tour 2024: EMEA Stage 1,38,tier1,auto:EMEA,auto:main_event,
Challengers League Taiwan/Hong Kong: Split 2,38,tier2,auto:APAC,auto:main_event,
Knights Invitational,38,tier3,auto:NA,auto:main_event,
G-Loot VALORANT Clash,38,,,auto:main_event,
Champions Tour Thailand Stage 1: Challengers,38,tier1,auto:SEA,auto:main_event,
Champions Tour SEA Stage 3: Challengers Playoffs,38,tier1,auto:SEA,auto:main_event,
SEA Fire Championship 2020,38,tier3,,auto:main_event,
WDG Challengers League 2024 Korea: Split 1,38,tier2,auto:Korea,auto:main_event,
Champions Tour 2024: Pacific Stage 1,38,tier1,auto:APAC,auto:main_event,
30Bomb Invitational Series #2,38,tier3,,auto:main_event,
Challengers League 2024 Japan: Split 2,38,tier2,auto:Japan,auto:main_event,
VCT 2026: Americas Stage 1,38,tier1,auto:Americas,auto:main_event,
Champions Tour Malaysia & Singapore Stage 2: Challengers,38,tier1,auto:SEA,auto:main_event,
30Bomb Summer Cup,38,tier3,,auto:main_event,
Challengers League 2024 Malaysia/Singapore: Split 1,38,tier2,auto:SEA,auto:main_event,
Champions Tour Thailand Stage 2: Challengers,38,tier1,auto:SEA,auto:main_event,
Royal SEA Challenge,37,tier3,auto:SEA,auto:main_event,
Valorant Regional League Northern Europe: Polaris - Stage 2,37,tier2,auto:EMEA,auto:main_event,
Skyesports SEA Championship Presented by AMD,37,,auto:SEA,auto:main_event,
Challengers League 2024 North America: Stage 3,37,tier2,auto:NA,auto:main_event,
Valorant Regional League France: Revolution,37,tier2,auto:EMEA,auto:main_event,
Champions Tour Hong Kong & Taiwan Stage 2: Challengers,37,tier1,auto:APAC,auto:main_event,
Nerd Street Gamers Winter Championship - Open 3,37,tier3,auto:NA,auto:main_event,
Champions Tour Philippines Stage 1: Challengers 3,37,tier1,auto:SEA,auto:main_event,
KJC eSports VALORANT Invitational,36,tier3,,auto:main_event,
SOOP Challengers League 2024 Thailand: Split 2,36,tier2,auto:SEA,auto:main_event,
Nerd Street Gamers Winter Championship - Open 9,36,tier3,auto:NA,auto:main_event,
Community Gaming Premier Series: Finale,36,tier3,,auto:main_event,
EPULZE Royal SEA Cup,36,,auto:SEA,auto:main_event,
Champions Tour CIS Stage 1: Challengers 1,36,tier1,auto:CIS,auto:main_event,
Challengers League 2024 MENA Resilience: Split 2,36,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 Malaysia/Singapore: Split 2,36,tier2,auto:SEA,auto:main_event,
Challengers 2025: France Revolution Stage 2,36,tier2,auto:EMEA,auto:main_event,
AfreecaTV Challengers League 2024 Thailand: Split 1,36,tier2,auto:SEA,auto:main_event,
Champions Tour Asia-Pacific: Last Chance Qualifier,36,tier1,auto:APAC,auto:lcq,
Challengers League Malaysia/Singapore: Split 1,36,tier2,auto:SEA,auto:main_event,
Vitality European Open,36,,auto:EMEA,auto:main_event,
Challengers League LATAM South FiRe: Split 1,36,tier2,auto:LATAM,auto:main_event,
Challengers League 2024 North: Polaris Split 2,36,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 Oceania: Stage 3,36,tier2,auto:Oceania,auto:main_event,
Nerd Street Gamers Summer Championship - Open 9,36,tier3,auto:NA,auto:main_event,
Valorant Open Tour France: Spring Qualifier,35,tier3,auto:EMEA,auto:qualifier,
YFP Winter Classic,35,tier3,,auto:main_event,
Challengers League Malaysia/Singapore: Split 2,35,tier2,auto:SEA,auto:main_event,
Mandatory.gg Cup #2,35,,,auto:main_event,
Challengers League Thailand: Split 1,35,tier2,auto:SEA,auto:main_event,
Nerd Street Gamers Summer Championship - June Qualifier,35,tier3,auto:NA,auto:qualifier,
Open Fire Legacy,35,tier3,,auto:main_event,
Knights Monthly Gauntlet 2022: February,35,tier3,auto:NA,auto:main_event,
Valorant Regional League MENA: Resilience - Stage 2,35,tier2,auto:EMEA,auto:main_event,
Challengers League LATAM North ACE: Split 1,35,tier2,auto:NA,auto:main_event,
Champions Tour Turkey Stage 3: Challengers 1,34,tier1,auto:EMEA,auto:main_event,
Renegades x NSG Invitational,34,tier3,,auto:main_event,
Challengers 2026: Spain Rising Stage 3,34,tier2,auto:EMEA,auto:main_event,
Champions Tour Malaysia & Singapore Stage 1: Challengers,34,tier1,auto:SEA,auto:main_event,
Nerd Street Gamers Winter Championship - Open 10,34,tier3,auto:NA,auto:main_event,
Nerd Street Summer Championship 2022 - Open 10,34,tier3,auto:NA,auto:main_event,
Game Changers 2024 EMEA: Stage 2,34,game_changers,auto:EMEA,auto:main_event,
Challengers League DACH Evolution: Split 1,34,tier2,auto:EMEA,auto:main_event,
Challengers League Vietnam: Split 2,34,tier2,auto:SEA,auto:main_event,
Game Changers 2024 EMEA: Stage 3,34,game_changers,auto:EMEA,auto:main_event,
Challengers League 2024 France: Revolution Split 1,34,tier2,auto:EMEA,auto:main_event,
Gamers Club Challengers League 2024 Brazil: Split 3,34,tier2,auto:Brazil,auto:main_event,
Valorant Champions 2025,34,tier1,,auto:main_event,
Game Changers 2024 EMEA: Stage 1,34,game_changers,auto:EMEA,auto:main_event,
FaZe Clan Invitational,34,,,auto:main_event,
Challengers League 2024 France: Revolution Split 2,34,tier2,auto:EMEA,auto:main_event,
ESL SEA Community Clash,34,tier3,auto:SEA,auto:main_event,
Game Changers 2025: EMEA Stage 2,34,game_changers,auto:EMEA,auto:main_event,
Challengers League 2024 Japan: Split 3,34,tier2,auto:Japan,auto:main_event,
Valorant Champions 2024,34,tier1,,auto:main_event,
Valorant Champions 2023,34,tier1,,auto:main_event,
Challengers League DACH Evolution: Split 2,34,tier2,auto:EMEA,auto:main_event,
Frag Valorant Major - Fullerton,34,tier3,,auto:main_event,
Challengers League Northern Europe Polaris: Split 1,34,tier2,auto:EMEA,auto:main_event,
Challengers League Vietnam: Split 1,34,tier2,auto:SEA,auto:main_event,
Valorant Champions 2022,34,tier1,,auto:main_event,
Valorant Regional League DACH: Evolution - Stage 2,34,tier2,auto:EMEA,auto:main_event,
Champions Tour Vietnam Stage 1: Challengers,34,tier1,auto:SEA,auto:main_event,
FGC VALORANT Invitational 2022: Act 2,34,tier3,,auto:main_event,
Champions Tour 2024: Americas Stage 2,33,tier1,auto:Americas,auto:main_event,
The Esports Club Challenger Series 10,33,,,auto:main_event,
Challengers 2026: South Asia Split 2,33,tier2,,auto:main_event,
Nerd Street Gamers Winter Championship - Open 11,33,tier3,auto:NA,auto:main_event,
Challengers 2025: Türkiye Birlik Stage 3,33,tier2,auto:EMEA,auto:main_event,
Game Changers 2024 China,33,game_changers,auto:China,auto:main_event,
Challengers 2026: France Revolution Stage 2,33,tier2,auto:EMEA,auto:main_event,
SEA Esports Championship 2021,33,tier3,,auto:main_event,
Champions Tour 2024: Pacific Stage 2,33,tier1,auto:APAC,auto:main_event,
Champions Tour Turkey Stage 1: Challengers 2,33,tier1,auto:EMEA,auto:main_event,
Knights Monthly Gauntlet: April,33,tier3,auto:NA,auto:main_event,
Champions Tour 2024: EMEA Stage 2,33,tier1,auto:EMEA,auto:main_event,
Knights Monthly Gauntlet: May,33,tier3,auto:NA,auto:main_event,
Nerd Street VALORANT Lockdown - Open 3,33,tier3,auto:NA,auto:main_event,
Multiplatform Esports Game 2023,33,,,auto:main_event,
Champions Tour 2024: China Stage 2,33,tier1,auto:China,auto:main_event,
Nerd Street Gamers November Monthly,32,tier3,auto:NA,auto:main_event,
WDG Challengers League 2024 Korea: Split 2,32,tier2,auto:Korea,auto:main_event,
Challengers League 2024 Southeast Asia,32,tier2,auto:SEA,auto:main_event,
Challengers 2026: EMEA Stage 3,32,tier2,auto:EMEA,auto:main_event,
VALORANT UK & I Skirmish,32,tier3,,auto:main_event,
Nerd Street Gamers Summer Championship - Open 12,32,tier3,auto:NA,auto:main_event,
Cyber Games Arena Pacific Open,32,,auto:APAC,auto:main_event,
Pulse Invitational,32,tier3,,auto:main_event,
Challengers 2026: Japan Split 1,32,tier2,auto:Japan,auto:main_event,
Challengers League 2024 MENA Resilience: Split 1,32,tier2,auto:EMEA,auto:main_event,
Knights Monthly Gauntlet: August,32,tier3,auto:NA,auto:main_event,
Champions Tour 2023: LOCK//IN São Paulo,32,tier1,,auto:main_event,
Superdome 2022: Egypt,31,,,auto:main_event,
Challengers 2026: South Asia Split 1,31,tier2,,auto:main_event,
Nerd Street Gamers Summer Championship - Open 8,31,tier3,auto:NA,auto:main_event,
Challengers 2026: Türkiye Birlik Stage 2,31,tier2,auto:EMEA,auto:main_event,
Wave Esports Invitational,31,tier3,,auto:main_event,
Epulze Valorant Prodigies,31,tier3,,auto:main_event,
